text,label
"33.5 Acceleration  a)  Where the Contractor is entitled to an extension of time to the Date for Practical Completion under Clause 35.5, the Administrator may, instead of granting a reasonable extension of time under Clause 35.5, direct the Contractor in writing to accelerate the performance of the Work Under the Contract so as to overcome the whole or part of the delay which gave rise to the entitlement to an extension of time and the Contractor shall comply with that direction.  b)  If the Administrator directs the Contractor under this Clause 33.5 to accelerate the performance of the Work Under the Contract so as to overcome the whole of the delay in question, the Contractor shall no longer be entitled to any extension of time for that delay.  c)  If the Administrator directs the Contractor under this Clause 33.5 to accelerate the performance of the Work Under the Contract so as to overcome part only of the delay in question, the Contractor shall no longer be entitled to any extension of time for that part of the delay, but the Administrator shall grant a reasonable extension of time under Clause 35.5 for the balance of the delay.  d)  No direction by the Administrator shall constitute, or be regarded as, a direction under this Clause 33.5 unless it is in writing and expressly states that it is a direction under Clause 33.5.  e)  If compliance with a direction to accelerate given under Clause 33.5 causes the Contractor to incur more or less cost than otherwise would have been incurred had the Contractor not been given the direction, the difference shall be valued under Clause 40.5.  f)  The Principal may prior to giving a direction under this Clause 33.5, provide a written notice of a proposed variation and in that case:  i.  the Contractor shall advise the Administrator whether the proposed variation can be effected and if the variation can be effected, the Contractor shall:  a)  advise the Administrator of the effect which the Contractor anticipates that the variation will have on the Construction Program and time for Practical Completion  b)  provide an estimate of the cost (including delay costs, if any) of the proposed variation  ii.  if the Contractor incurs additional costs in complying with the requirements of Clause 33.5(f), a valuation shall be made under Clause 40.5.  34 Suspension of the Works  34.1 Suspension by Administrator  If the Administrator considers in its absolute discretion that the suspension of the whole or part of the Work Under the Contract is necessary:  a)  because of an act or omission of:  i.  the Principal, the Administrator or an employee, consultant or agent of the Principal  ii.  the Contractor, a Subcontractor or an employee or agent of either  b)  for the protection or safety of any person or property  c)  to comply with an order of a Court, ",Terms of Contract
"the Administrator shall direct the Contractor to suspend the progress of the whole or part of the Work Under the Contract for such time as the Administrator thinks fit.  34.2 Suspension by Contractor  If the Contractor wishes to suspend the whole or part of the Work Under the Contract, otherwise than under Clause 44.9, the Contractor shall obtain the prior written approval of the Administrator. The Administrator may approve of the suspension and may impose conditions of approval or reject the suspension in the Principal's absolute discretion.  34.3 Recommencement of work  a)  As soon as the Administrator becomes aware that the reason for any suspension no longer exists, the Administrator shall direct the Contractor to recommence work on the whole or on the relevant part of the Work Under the Contract.  b)  If work is suspended pursuant to Clause 34.2 or 44.9, the Contractor may recommence work at any time after reasonable advance notice to the Administrator.  34.4 Cost of suspension  Any cost incurred by the Contractor by reason of a suspension under Clause 34.1 or Clause 34.2 shall be borne by the Contractor, but if the suspension is due to an act or omission of the Principal, the Administrator or an employee, consultant or agent of the Principal, and the suspension causes the Contractor to incur more or less cost than otherwise would have been incurred but for the suspension, the difference shall be valued under Clause 40.5.  34.5 Effect of suspension  Suspension shall not affect the Date for Practical Completion, but the cause of suspension may be a ground for extension of time under Clause 35.5.  35 Times for commencement and Practical Completion  35.1 Time for commencement of work on the Site  a)  The Contractor shall give the Administrator five Business Days’ notice of the date upon which the Contractor proposes to commence work on the Site.  b)  The Administrator may reduce the period of notice required.  c)  The Contractor shall commence work on the Site within 10 Business Days after the Principal has given the Contractor possession of sufficient of the Site to enable the Contractor to commence work.  d)  The Administrator may extend the time for commencement of work on the Site.  35.2 Date / time for Practical Completion  a)  The Contractor shall execute the Work Under the Contract to Practical Completion by the Date for Practical Completion.  b)  Upon the Date of Practical Completion, the Contractor shall give possession of the Site and the Works to the Principal. ",Terms of Contract
"c)  The Contractor may, if it chooses, accelerate progress at its own cost and reach Practical Completion before the Date for Practical Completion, but if it does choose to accelerate, then:  i.  neither the Principal, the Administrator, nor any other person for whom the Principal is responsible, will be obliged to do or refrain from doing anything to enable the Contractor to reach Practical Completion before the Date for Practical Completion  ii.  the time for performance of the Principal's and the Administrator's obligations shall not be affected by the Contractor's decision to accelerate.  35.3 Separable Portions  a)  The interpretations of:  i.  Date for Practical Completion  ii.  Date of Practical Completion  iii.  Practical Completion,  and Clauses 5.8, 16, 35, 37, 38, 42.3 and 42.5 shall apply separately to each Separable Portion as identified in Item 37A and references therein to the Works and to Work Under the Contract shall mean so much of the Works and the Work Under the Contract as is comprised in the relevant Separable Portion.  b)  If the Contract does not make provision for the amount of security, Retention Moneys, liquidated damages or bonus applicable to a Separable Portion, the respective amounts applicable shall be such proportion of the security, Retention Moneys, liquidated damages or bonus applicable to the whole of the Work Under the Contract as the value of the Separable Portion bears to the value of the whole of the Work Under the Contract.  35.4 Use of partly completed Works  a)  If a part of the Works has reached a stage equivalent to that of Practical Completion, but another part of the Works has not reached such a stage and the parties cannot agree upon the creation of Separable Portions, the Administrator may, in its absolute discretion, determine that the respective parts shall be Separable Portions.  b)  In using the Separable Portion that has reached Practical Completion, the Principal shall not hinder the Contractor in the performance of the Work Under the Contract.  35.5 Extension of time for Practical Completion  a)  Within 10 Business Days of it becoming evident to the Contractor that anything, including an act or omission of the Principal, the Administrator or the Principal's employees, consultants, other Contractors or agents, may delay the Work Under the Contract, the Contractor shall notify the Administrator in writing with details of the possible delay and the cause. The notice shall be endorsed 'Contractor's Notice of Possible Delay Under Clause 35.5'.  b)  Within 10 Business Days of it becoming evident to the Principal that anything which the Principal is obliged to do or provide under the Contract may be delayed, the Principal shall give notice to the Administrator who shall within a further three Business Days notify the Contractor in writing of the extent of the likely delay. ",Terms of Contract
"c)  If the Contractor is, or will be delayed in, reaching Practical Completion by a cause described in Clause 35.5(d) and within 20 Business Days after the commencement of that cause the Contractor gives the Administrator a written Claim for an extension of time for Practical Completion endorsed 'Contractor's Extension of Time Claim Under Clause 35.5' and setting out the facts on which the Claim is based supported by a compliant Current Program submitted in accordance with the requirements of Clause 33.4, the Contractor shall be entitled to an extension of time for Practical Completion.  d)  The causes are:  i.  events occurring on or before the Date for Practical Completion which are beyond the reasonable control of the Contractor, including:  a)  Industrial Matters  b)  inclement weather,  but not including a delay, breach, act or omission by any Subcontractor or any of the Contractor's employees  ii.  any of the following events whether occurring before, on or after the Date for Practical Completion:  a)  delays caused by:  i.  the Principal  ii.  the Administrator  iii.  the Principal's employees, consultants, other Contractors or agents  b)  actual quantities of work in the Schedule of Rates being greater than the quantities determined by reference to the upper limit of accuracy stated in Item 44C (otherwise than by reason of a variation directed under Clause 40)  c)  Latent Conditions  d)  variations directed under Clause 40  e)  repudiation or abandonment by a Nominated Subcontractor  f)  changes in a Legislative Requirement (which occurs after the Date of Acceptance of Tender and could not have been anticipated by an experienced and competent Contractor)  g)  directions by any Authority, but not where the direction arose from the failure of the Contractor to comply with a legislative requirement  h)  delays by any Authority not caused by the Contractor  i)  delays arising as a result of the Contractor's compliance with Clause 27.7.2  j)  Claims referred to in Clause 17.1(b)(iv)  k)  any breach of the Contract by the Principal  l)  any other cause which is expressly stated in the Contract to be a cause for extension of time for Practical Completion. ",Terms of Contract
"e)  Where more than one event causes overlapping delays and the cause of at least one of those events, but not all of them, is not a cause referred to in Clause 35.5(d), then to the extent that the delays overlap, the Contractor shall not be entitled to an extension of time for Practical Completion.  f)  In determining whether the Contractor is, or will be, delayed in reaching Practical Completion regard shall not be had to:  i.  whether the Contractor can reach Practical Completion by the Date for Practical Completion without an extension of time  ii.  whether the Contractor can, by committing extra resources or incurring extra expenditure, make up the time lost.  g)  With any Claim for an extension of time for Practical Completion, or as soon as practicable thereafter but not more than 20 Business Days, the Contractor shall give the Administrator written notice of the number of days’ extension claimed.  h)  The Contractor shall not be entitled to an extension of time for any delay in respect of which the Contractor has failed to comply strictly with the requirements of Clause 35.5(c).  i)  If the Contractor is entitled to an extension of time for Practical Completion the Administrator shall, within 20 Business Days after receipt of the notice of the number of days’ extension claimed, grant a reasonable extension of time. If within the 20 Business Days, the Administrator does not grant the full extension of time claimed, the Administrator shall, before the expiration of the 20 Business Days, give the Contractor notice in writing of the reason.  j)  In determining a reasonable extension of time for an event causing delay, the Administrator shall have regard to whether the Contractor has taken all reasonable steps to preclude the occurrence of the cause and minimise the consequences of the delay.  k)  Notwithstanding that the Contractor is not entitled to, or has not claimed an extension of time, the Administrator may, in its absolute discretion and without being under any obligation to do so, at any time and from time to time before the issue of the Final Certificate, by notice in writing to the Contractor, extend the time for Practical Completion for any reason.  l)  Neither a delay caused by any one or more of the causes mentioned in Clauses 35.5(d)(ii)(a), 35.5(d)(ii)(d) or 35.5(d)(ii)(k), nor a failure by the Administrator to grant an extension of time or a reasonable extension of time under this Clause 35.5, or to do so within the time stated in this Clause 35.5, nor the giving of a direction to accelerate under Clause 35.5, shall:  i.  set the Date for Practical Completion at large, or  ii.  render Clause 35.6 unenforceable,  and the legal principle known as the 'prevention principle' shall not apply where there has been such a delay or failure, but nothing in this Clause 35.5(l) shall prejudice any right of the Contractor to damages for breach of Contract.  35.6 Liquidated damages for delay in reaching Practical Completion  a)  If the Contractor fails to reach Practical Completion by the Date for Practical Completion, the Contractor shall be indebted to the Principal for liquidated damages at the rate stated in Item 38A for every Day after the Date for Practical Completion to, and including, the ",Terms of Contract
"Date of Practical Completion or the date that the Contract is terminated under Clause 44, whichever occurs first.  b)  If after the Contractor has paid, or the Principal has deducted liquidated damages, the time for Practical Completion is extended, the Principal shall forthwith repay to the Contractor any liquidated damages paid or deducted in respect of the period up to and including the new Date for Practical Completion.  36 Delay costs  a)  Where the Contractor has been granted an extension of time under Clause 35.5 for any delay caused by any of the events referred to in Clause 35.5(d)(ii)(a), the Principal shall pay to the Contractor such extra costs as are necessarily incurred by the Contractor by reason of the delay. The amount payable (if any) shall include the percentage margin for onsite and/or offsite overheads stated in Item 40A, as the case may be but shall not include profit or loss of profit.  b)  Nothing in Clause 36 shall:  i.  oblige the Principal to pay extra costs for delay which have already been included in the value of a variation or any other payment under the Contract, or  ii.  limit the Principal's liability for damages for breach of the Contract.  37 Defects liability  a)  The Defects Liability Period stated in Item 37A or 39A shall commence on the Date of Practical Completion. Where no period is stated in Item 37A or 39A, the Defects Liability Period shall be 90 days.  b)  As soon as possible after the Date of Practical Completion, the Contractor shall rectify any defects or omissions in the Work Under the Contract existing at Practical Completion.  c)  At any time prior to 10 Business Days after the expiration of the Defects Liability Period, the Administrator may direct the Contractor to rectify any omission or defect in the Work Under the Contract existing at the Date of Practical Completion or which becomes apparent prior to the expiration of the Defects Liability Period. The direction shall identify the omission or defect and state a date by which the Contractor shall complete the work of rectification and may state a date by which the work of rectification shall commence. The direction may provide that in respect of the work of rectification there shall be a separate Defects Liability Period of a stated duration not exceeding the period stated in Item 37A or 39A. The separate Defects Liability Period shall commence on the date the Contractor completes the work of rectification. Clause 37 shall apply in respect of the work of rectification and the Defects Liability Period for that work of rectification work.  d)  If the work of rectification is not commenced or completed by the stated dates, the Principal may have the work of rectification carried out at the Contractor's expense, but without prejudice to any other rights that the Principal may have against the Contractor with respect to such omission or defect and the cost of the work of rectification incurred by the Principal shall be a debt due from the Contractor. ",Terms of Contract
"e)  If it is necessary for the Contractor to carry out work of rectification, the Contractor shall do so at times and in a manner which cause as little inconvenience to the occupants or users of the Works as is reasonably possible.  38 Cleaning up  a)  The Contractor shall keep the Site and the work clean and tidy. The Contractor shall regularly remove rubbish and surplus material.  b)  Within 10 Business Days after the Date of Practical Completion, the Contractor shall remove Temporary Works and Constructional Plant.  c)  The Administrator may extend the time for removal of Temporary Works or Constructional Plant necessary to enable the Contractor to perform remaining obligations.  d)  Notwithstanding the provisions of Clause 44, if the Contractor fails to comply with any obligation imposed on the Contractor by Clause 38, the Administrator may, after the Administrator has given reasonable notice in writing to the Contractor, have the work of cleaning and tidying up carried out by other persons and the reasonable cost incurred by the Principal in having the work so carried out may be recovered by the Principal as a debt due from the Contractor to the Principal. The rights given by this Clause 38(d) are in addition to any other right.  39 Urgent protection  a)  If urgent action is necessary to protect the Work Under the Contract, other property or people and the Contractor fails to take the action, the Principal may, in its absolute discretion, take the necessary action. If the action was action which the Contractor should have taken at the Contractor's cost, the cost incurred by the Principal shall be a debt due from the Contractor.  b)  If time permits, the Administrator shall give the Contractor prior written notice of the Principal's intention to take action under Clause 39.  40 Variations  40.1 Authority to vary the work  a)  The Administrator may, in its absolute discretion, direct the Contractor to:  i.  increase, decrease or omit any part of the Work Under the Contract  ii.  change the character or quality of any material or work  iii.  change the levels, lines, positions or dimensions of any part of the Work Under the Contract  iv.  execute additional work, and/or  v.  demolish or remove material or work no longer required by the Principal.  b)  The Contractor shall not vary the Work Under the Contract, except as directed by the Administrator or approved in writing by the Administrator under Clause 40.  c)  The Contractor is bound only to execute a variation which is within the general scope of the Contract. ",Terms of Contract
"d)  The Contractor shall not be bound to execute a variation directed after Practical Completion unless the variation is in respect of rectification work referred to in Clause 37.  e)  Despite any provision of this Contract to the contrary no variation shall invalidate or amount to a repudiation of this Contract.  f)  For the avoidance of doubt, the Principal shall be entitled to have any omitted work carried out by other contractors.  40.2 Contractor’s obligations concerning proposed variations  a)  Upon receipt of a notice in writing from the Administrator advising the Contractor of a proposed variation under Clause 40, the Contractor shall advise the Administrator whether the proposed variation can be effected. If the variation can be effected, the Contractor shall within a reasonable timeframe but not more than 5 Business Days:  i.  advise the Administrator of the effect which the Contractor anticipates that the variation will have on the Construction Program and time for Practical Completion, and  ii.  provide a realistic estimate of the cost (including delay costs, if any) of the proposed variation.  iii.  provide supporting document to substantiate the estimated cost and time impacts including an updated Current Program clearly showing the time impacts of the proposed variations, supplier quotations, measurements and any other relevant evidence of costs.  b)  If the Contractor incurs additional costs in complying with the requirements of Clause 40.2, a valuation shall be made under Clause 40.5.  40.3 Direction to proceed with proposed variations  a)  The Contractor and the Administrator shall make reasonable endeavours to agree on the cost and time impacts before the Administrator gives a direction to proceed with the variation.  b)  If the Administrator and the Contractor fail to agree upon the price for a variation, the variation directed or approved by the Administrator under Clause 40.1 shall be valued under Clause 40.5 a) ii to iv.  c)  The Administrator shall give a direction to the Contractor on whether to proceed with the variation within 5 Business Days of providing a realistic estimate of the cost. The direction shall include details of the agreed cost and time impacts, or failing agreement, the Administrator’s valuation and assessment of the time impacts.  d)  The Contractor shall proceed with the variation as directed even if agreement on the time and cost impacts has not been reached or the Contractor does not agree with the Administrator’s valuation or assessment.  e)  If the Contractor does not agree with the Administrator’s valuation or assessment, the Contractor may issue a Notice of Dispute under Clause 47.1 while continuing to proceed with the directed variation.  40.4 Variations for the convenience of the Contractor  a)  If the Contractor requests the Administrator to approve a variation for the convenience of the Contractor, the Administrator may, in its absolute discretion, do so in writing. The approval may be conditional. ",Terms of Contract
"b)  Unless the Administrator otherwise directs in the notice approving the variation, the Contractor shall not be entitled to:  i.  an extension of time for Practical Completion, or  ii.  extra payment,  in respect of the variation or anything arising out of the variation which would not have arisen had the variation not been approved.  c)  The Administrator shall not be obliged to approve a variation for the convenience of the Contractor.  40.5 Valuation  a)  Where the Contract provides that a valuation shall be made under Clause 40.5, the Principal shall pay or allow the Contractor or the Contractor shall pay or allow the Principal as the case may require, an amount ascertained by the Administrator as follows:  i.  prior agreement between the Contractor and the Administrator  ii.  if Clause 40.5(a)(i) does not apply and the Contract prescribes specific rates or prices to be applied in determining the value, those rates or prices shall be used  iii.  if Clause 40.5(a)(i) or 40.5(a)(ii) do not apply, the rates or prices in a Schedule of Prices or Schedule of Rates shall be used to the extent that it is reasonable to use them  iv.  to the extent that neither Clause 40.5(a)(i) to 40.5(a)(iii) applies, reasonable rates or prices which are exclusive of GST shall be used in any valuation made by the Administrator.  b)  Notwithstanding Clause 40.5(a), the following principles apply to the valuation of variations:  i.  in determining the deduction to be made for work which is taken out of the Contract, the deducted amount shall comprise the direct job costs, overheads and profit associated with the deducted component of the work, the amount of overheads to be deducted may be adjusted in favour of the Contractor if the Contractor can demonstrate that notwithstanding the deduction of the work, it has still incurred some or all of the overheads. In the case of a Schedule of Rates, Clause 3.6 of the Commercial Framework shall be taken into consideration with the limit of accuracy. In all cases, the Contractor shall not be entitled to any profit if the whole Item of work has been deducted.  The percentages used for assessing the overheads and profit deductions shall be ascertained as follows:  1  by agreement between the Contractor and the Administrator  2  failing agreement under Clause 40.5(b)(i)(1) the percentages for profit, onsite overheads and offsite overheads stated in Item 40A may be used in determining the reasonable amount of such profit and overheads to be allowed or disallowed, as the case may be, in the cost of a variation or value of reduced quantities treated as a variation  ii.  if the valuation is of an increase or decrease in a fee or charge or is a new fee or charge by an Authority under Clause 14.2(b), the value shall be the actual increase or decrease or the actual amount of the new fee or charge without regard to overheads or profit ",Terms of Contract
"iii.  if the valuation relates to extra costs incurred by the Contractor for disruption, the valuation of the extra costs shall include the percentage margin for onsite and/or offsite overheads stated in Item 40A, as the case may be, but shall not include profit or loss of profit  iv.  if Clause 11 applies, the percentage referred to in Clause 11 shall be used for valuing the Contractor's profit and attendance  v.  Daywork shall be valued in accordance with Clause 41  vi.  in respect of Clauses 40.5(b)(i) to (v), the percentages for profit, onsite overheads and/or offsite overheads stated in Item 40A, as the case may be, may be utilised in determining the reasonable amount of such profit and overheads to be allowed or disallowed, as the case may be, in the cost of a variation  vii.  where applicable, the amount of GST in respect of the relevant supply or part being valued shall be added in accordance with Clause 42.11.  c)  When under Clause 40.3, the Administrator directs the Contractor to support a variation with measurements and other evidence of cost, the Administrator shall allow the Contractor the reasonable cost of preparing the measurements or other evidence of cost that has been incurred over and above the reasonable overhead cost.  41 Daywork  a)  The Administrator may, in its absolute discretion, direct that quantities greater than those determined by reference to the upper limit of accuracy referred to in Item 44C or variations directed by the Administrator under Clause 40.1 shall be carried out as Daywork. The Contractor shall thereafter each day record particulars of all resources used by the Contractor for the execution of the Daywork and each day furnish to the Administrator the particulars and copies of time sheets, wages sheets, invoices, receipts and Other Documents evidencing the cost of the Daywork. The Administrator may direct the manner in which matters are to be recorded.  b)  In determining the value of Daywork regard shall be had to the rates and prices in the Daywork Schedules contained in the Tender. To the extent that the Daywork Schedules do not apply:  i.  the amount of wages and allowances paid or payable by the Contractor at the rates obtaining on the Site at the time as established by the Contractor to the satisfaction of the Administrator or at such other rates as may be approved by the Administrator in its absolute discretion  ii.  the amount paid or payable by the Contractor in accordance with any statute or award applicable to day labour additional to the wages paid or payable under Clause 41(b)(i)  iii.  the amount of hire charges in respect of Constructional Plant approved by the Administrator for use on the work in accordance with such hiring rates and conditions as may be agreed between the Administrator and the Contractor or, in the absence of agreement, in accordance with such rates and conditions as may be determined by the Administrator in its absolute discretion  iv.  the amounts paid for services, subcontracts and professional fees ",Terms of Contract
"v.  the actual cost to the Contractor of all materials supplied and required for the work  vi.  the charge stated in Item 40A or, if no charge is stated, a charge agreed between the Administrator and the Contractor to cover offsite overheads, administrative costs, establishment costs, attendance and profit, or, in the absence of agreement, a reasonable charge determined by the Administrator.  c)  Amounts payable for Daywork shall not be subject to adjustment for rise and fall in costs notwithstanding that the Contract may provide for adjustment for rise and fall in costs.  42 Certificates and payments  42.1 Payment Claims, certificates, calculations and time for payment  42.1.1 Payment Claims  a)  At the times for payment Claims stated in Item 41A, upon issue of a Certificate of Practical Completion and within the time prescribed by Clause 42.7, the Contractor may deliver to the Administrator a payment Claim. For the avoidance of doubt, a reference date under the Payments Act shall not arise during the period following the end of the month in which Practical Completion is reached until the time for making the Final Payment Claim under Clause 42.7  b)  The payment Claim shall:  i.  be supported by evidence of the amount due to the Contractor, including a breakdown of the value of Work Under the Contract executed:  a)  since the commencement of the Contract  b)  since the previous payment Claim was made  ii.  include Conformance Report in relation to the Work Under the Contract the subject of the payment Claim  iii.  enclose a copy of a completed Form C7901 or Form C7902 to evidence compliance to the provisions of Clause 4.4, as if a Form C7901 or C7902 has not been completed pursuant to Clause 4.4, evidence that the Contractor has taken all reasonable steps to comply with Clause 4.4  iv.  enclose evidence of compliance with Clause 33.2 (if applicable), Clause 33.3 and Clause 33.4  v.  enclose a completed statutory declaration in accordance with Clause 43, and  vi.  https://www.qbcc.qld.gov.au/protecting-your- payment-rights/supporting-statement include a supporting statement in accordance with the Payments Act (for guidance, supporting statement template is available at ).  c)  A payment Claim shall include the value of work carried out by the Contractor in the performance of the Contract to that time together with all amounts then due to the Contractor arising out of or in connection with the Contract or for any alleged breach of the Contract. Each component of the Claim shall be assessed to determine if GST applies in accordance with Clause 42.11. ",Terms of Contract
"d)  If the time for any payment Claim under Clause 42.1.1(a) falls on a day which is not a Business Day, the Contractor shall submit the Claim on the next Business Day.  42.1.2 Payment certificate  a)  Within 10 Business Days after receipt of a payment Claim, the Administrator shall issue to the Principal and to the Contractor a payment certificate setting out:  i.  the amount of the payment which, in the opinion of the Administrator, is to be made by the Principal to the Contractor or by the Contractor to the Principal  ii.  the calculations employed to arrive at the amount and, if the amount is more or less than the amount claimed by the Contractor, the reasons for the difference.  b)  The Administrator may allow in any payment certificate issued pursuant to this Clause 42.1 or any Final Certificate issued pursuant to Clause 42.8 or a Certificate issued pursuant to Clause 44.6, amounts paid under the Contract and amounts otherwise due from the Principal to the Contractor and/or due from the Contractor to the Principal arising out of or in connection with the Contract, including any amount due or to be credited under any provision of the Contract, but the Administrator shall not be required to include in any such certificate and the Principal shall not be obliged to pay for any work for which a Conformance Report has not been provided to the Administrator unless Indicative Conformance applies.  c)  In instances where Indicative Conformance applies, where the Conformance Report has not been submitted due only to the normal delays involved in processing, testing, analysis and reporting, the Contractor may include that completed work for the Conformance Report will be submitted in the following month. In this case, the Contractor shall submit with its payment Claim, a statement which lists the relevant completed work and certifies that the Conformance Report will be presented to the Administrator no later than the end of the calendar month following the month of the relevant payment Claim.  d)  If the Contractor fails to deliver a payment Claim under Clause 42.1, the Administrator may, nevertheless, issue a payment certificate.  e)  Within two Business Days of the issue of the payment certificate by the Administrator, the Contractor shall issue to the Principal or the Principal shall issue to the Contractor, as the case may be, a tax invoice complying with the GST Legislation in respect of the relevant Supply.  42.1.3 Payment  a)  Subject to the provisions of the Contract, within 20 Business Days after receipt by the Administrator of a payment Claim in accordance with Clause 42.1.1, provided that the requirements of Clause 42.1.2(e) have been met, the Principal shall pay to the Contractor or the Contractor shall pay to the Principal, as the case may be, an amount not less than the amount shown in the payment certificate as due to the Contractor or to the Principal as the case may be or if no payment certificate has been issued, the Principal shall pay the amount of the Contractor's Claim.  b)  A payment made pursuant to this Clause 42.1.3 shall not prejudice the right of either party to dispute under Clause 47 whether the amount so paid is the amount properly due and payable and on determination (whether under Clause 47 or as otherwise agreed) of the amount so properly due and payable, the Principal or Contractor, as the case may be, shall be liable to ",Terms of Contract
"pay the difference between the amount of such payment and the amount so properly due and payable.  c)  Payment of moneys shall not be evidence of the value of work or an admission of liability or evidence that work has been executed satisfactorily but shall be a payment on account only, except as provided by Clause 42.8.  d)  Upon payment to the Contractor of the amount which includes the value of the Item, the Item shall be the property of the Principal free of any lien or charge.  e)  Except as provided in the Contract, the Principal shall not be obliged to pay for any Item of unfixed plant and materials which is not incorporated in the Works.  f)  If any work for which payment has been made is found not to be in accordance with the Contract, the Administrator may take this into account in valuing any future certificate.  42.2 Correction of payment certificates  a)  At any time and from time to time, the Administrator may by a further certificate correct any error which has been discovered in any previous certificate other than a Certificate of Practical Completion or Final Certificate.  b)  Any correction must also correct the amount of GST in accordance with the GST Legislation.  42.3 Retention Moneys  The Principal may deduct Retention Moneys from moneys otherwise due to the Contractor as stated in Item 41B.  42.4 Unfixed materials, plant and equipment  The alternative applying for unfixed plant and materials is given in Item 41C.  Alternative 1  a)  Notwithstanding Clause 42.1, the Contractor may not claim payment for, and the Principal is not obliged to pay for, any unfixed materials, plant or equipment that have not been incorporated in the Works unless:  i.  the materials, plant or equipment:  a)  have been manufactured solely for the purpose of incorporation in the Works and have not been manufactured before the date required by the Contract, and  b)  are of the type stated in Item 41D(a), and  c)  are properly stored either on the Site or at a suitable location off site (as determined by the Administrator), clearly marked the property of the Department of Transport and Main Roads and adequately protected and insured, and  d)  have been paid for in full by the Contractor and are the unencumbered property of the Contractor and proof of such payment and ownership is provided to the satisfaction of the Administrator, and  e)  the Contractor provides additional security in one of the forms provided by Clause 5.4 in an amount equal to the payment claimed for the materials, plant or equipment. ",Terms of Contract
"b)  If pursuant to a payment certificate issued under Clause 42.1, the Principal pays the Contractor an amount which includes the value of any unfixed materials, plant or equipment that have not been incorporated in the Works, the materials, plant or equipment will become the property of the Principal, free of any lien, charge or any other encumbrance, at the time the payment is made.  Alternative 2  The Contractor shall not be entitled to payment for materials, plant or equipment not incorporated in the Works.  42.5 Certificate of Practical Completion  a)  The Contractor shall give the Administrator at least 10 Business Days’ notice of the date upon which the Contractor anticipates that Practical Completion will be reached.  b)  When the Contractor is of the opinion that Practical Completion has been reached, the Contractor shall, in writing, request the Administrator to issue a Certificate of Practical Completion. Within 10 Business Days of the receipt of the request, the Administrator shall give to the Contractor and to the Principal a Certificate of Practical Completion certifying the Date of Practical Completion or give the Contractor in writing the reasons for not issuing the Certificate.  c)  When the Administrator is of the opinion that Practical Completion has been reached, the Administrator may issue a Certificate of Practical Completion whether or not the Contractor has made a request for its issue.  d)  Within two months of Practical Completion, the Contractor shall hand over to the Administrator copies of all investigation reports undertaken by the Contractor or its agents, in connection with the Contract.  42.6 Effect of certificates  The issue of a payment certificate or a Certificate of Practical Completion shall not constitute approval of any work or other matter, nor shall it prejudice any Claim by the Principal or the Contractor.  42.7 Contractor's final payment Claim  a)  Within 20 Business Days after the expiration of the Defects Liability Period, or where there is more than one, the last to expire, the Contractor shall lodge with the Administrator a final payment Claim and endorse it 'final payment Claim'.  b)  The Contractor shall include in that Claim all moneys which the Contractor considers to be due from the Principal under or arising out of the Contract or any alleged breach thereof.  c)  After the expiration of the period for lodging a final payment Claim, any Claim which the Contractor could have made against the Principal and has not been made shall be barred.  42.8 Final Certificate  a)  Within 10 Business Days after receipt of the Contractor's final payment Claim or, where the Contractor fails to lodge such Claim, the expiration of the period specified in Clause 42.7 for the lodgement of the final payment Claim by the Contractor, the Administrator shall issue to the Contractor and to the Principal a final payment certificate endorsed 'Final Certificate', but the Administrator shall not be obliged to issue the Final Certificate until the Contractor has ",Terms of Contract
